"ppt_id","bet_no","bet_time","old_bonus","total_amt_bet","win","new_bonus","average_odds","total_numbers_bet","no_tokens"
"P1085",2,"12:49:30",2,-2,0,0,1.03,18,2
"P0603",1,"12:50:23",4,-1,0,3,3.35,9,5
"P0570",1,"12:50:31",4,-0.8,1,4.2,0.54,29,3
"P1172",3,"12:50:31",3.6,-0.7,0,2.9,1.03,18,2
"P0603",2,"12:50:47",3,-0.6,0.3,2.7,3.22,26,6
"P0420",4,"12:50:56",2.7,-0.5,0,2.2,1.03,18,1
"P0603",3,"12:51:19",2.7,-0.6,0.2,2.3,2.3,23,6
"P1172",4,"12:51:40",2.9,-2,2,2.9,0.03,36,2
"P0603",4,"12:51:47",2.3,-0.8,0,1.5,3.53,8,8
"P0603",5,"12:52:02",1.5,-0.4,0,1.1,5.78,6,4
"P0603",6,"12:52:20",1.1,-1.1,3.6,3.6,2,13,11
"P1172",5,"12:52:48",2.9,-1,2,3.9,1.03,18,1
"P0866",1,"12:58:55",4,-0.5,0,3.5,1.03,18,1
"P0155",1,"12:59:34",4,-0.2,0.2,4,9.53,18,2
"P0655",1,"13:00:12",4,-1,0,3,1.03,18,1
"P0866",2,"13:00:17",3.5,-1,2,4.5,1.03,18,1
"P0655",2,"13:00:23",3,-0.5,0,2.5,1.03,18,1
"P0655",3,"13:00:33",2.5,-0.5,0,2,1.03,18,1
"P0719",1,"13:00:39",4,-0.1,0,3.9,1.03,18,1
"P0655",4,"13:00:43",2,-1,2,3,1.03,18,2
"P0719",2,"13:00:49",3.9,-0.2,0,3.7,1.03,18,1
"P0655",5,"13:00:53",3,-0.5,1,3.5,1.03,18,1
"P0884",1,"13:00:58",4,-2,0,2,1.03,18,11
"P0719",3,"13:01:00",3.7,-0.4,0.8,4.1,1.03,18,2
"P0655",6,"13:01:03",3.5,-0.5,0,3,1.03,18,1
"P0884",2,"13:01:12",2,-2,0,0,1.03,18,2
"P0719",4,"13:01:11",4.1,-0.1,0,4,1.03,18,1
"P0655",7,"13:01:13",3,-0.5,0,2.5,1.03,18,1
"P0192",1,"13:01:15",4,-0.1,0,3.9,1.03,18,1
"P0076",1,"13:01:17",4,-0.1,0,3.9,1.03,18,1
"P1001",1,"13:01:20",4,-2,4,6,1.03,18,2
"P0719",5,"13:01:23",4,-0.2,0.4,4.2,1.03,18,1
"P0866",3,"13:01:25",4.5,-0.5,1,5,1.03,18,1
"P0655",8,"13:01:26",2.5,-1.5,0,1,1.03,18,3
"P0076",2,"13:01:32",3.9,-0.1,0.2,4,1.03,18,1
"P0719",6,"13:01:35",4.2,-0.1,0,4.1,1.03,18,1
"P0655",9,"13:01:36",1,-1,0,0,1.03,18,2
"P0228",1,"13:01:38",4,-1,0,3,10.28,12,2
"P0719",7,"13:01:46",4.1,-0.2,0,3.9,1.03,18,1
"P0076",3,"13:01:47",4,-0.1,0,3.9,35.03,1,1
"P0719",8,"13:01:57",3.9,-0.5,0,3.4,1.03,18,1
"P0647",1,"13:01:59",4,-1,2,5,1.03,18,1
"P0355",1,"13:02:03",4,-1,0,3,2.03,12,1
"P0228",2,"13:02:08",3,-0.1,0,2.9,1.03,18,1
